,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,"21,727.73","111,220.46",0.00,0.00,0.00,29.82,"132,978.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,1.59,1.59,179.72,0.06,74.34,0.00,80.62,76.08,10.89,1.02,113.51,35.59,0.00,0.00,571.83, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"133,551.43",, Republic of Korea,"15,430.64","98,424.31",953.33,194.85,"1,823.81",106.56,"116,933.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"116,933.50"
Republic of Moldova,724.84,"17,574.25",128.71,19.93,415.93,35.63,"18,899.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.37,1.14,144.00,0.00,157.26,149.31,21.31,2.77,219.43,69.28,0.00,0.00,"1,114.87", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"20,014.16",, Republic of Moldova,674.96,"4,305.23","1,055.44",30.36,549.55,58.63,"6,674.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"6,674.19"
Romania,"1,954.51","94,142.45",94.81,14.68,181.14,19.33,"96,406.93",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.57,0.32,66.56,0.00,72.41,66.51,9.27,1.07,102.22,30.55,0.00,0.00,509.47, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"96,916.40",, Romania,"4,320.13","27,555.97",521.35,56.45,650.24,44.03,"33,148.18",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"33,148.18"
Russia,"28,729.47","979,822.96",0.00,0.00,0.00,660.64,"1,009,213.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,016.95",1.13,"1,657.17",0.00,"1,797.37","1,721.03",249.38,23.17,"2,522.14",810.66,0.00,0.00,"12,799.01", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,022,012.08",, Russia,"39,936.36","254,734.04","29,009.57","2,786.99","30,470.78","2,232.51","359,170.26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,0.00,0.00,,,0.00,"359,170.26"
Rwanda,"42,046.28","137,845.15",81.30,12.59,173.16,89.22,"180,247.69","74,834.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"74,834.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"74,834.14","4,193.98",96.86,"1,698.78",0.00,"1,940.07","1,637.30",196.23,91.15,"2,646.84",654.49,0.00,0.00,"13,155.71","  12,304.40 ", ,"  8,644.54 ","  3,382.90 ", ,  49.28 , ,  240.50 ,"  20,948.94 ","  3,382.90 ",  289.78 ,"  24,621.62 ",  223.18 ,  223.18 ,,,  -   ,"367,916.48",, Rwanda,"14,738.89","94,012.00",0.00,0.00,0.00,0.00,"108,750.89","13,478.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,478.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,478.00","4,443.19",402.61,"1,989.81",11.39,58.65,"2,686.54",870.17,520.48,"2,070.95",45.22,"2,957.02","16,056.04","  5,263.26 ","  7,836.22 ", ,"  3,191.72 ","  1,967.04 ",  60.34 ,  155.54 , ,"13,099.49","5,158.76",215.88,"18,474.13",,0.00,,0.00,,,0.00,"156,759.07"
Saint Kitts and Nevis,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Saint Kitts and Nevis,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Saint Lucia,0.00,295.70,0.00,0.00,0.00,0.19,295.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.07,0.75,32.29,0.32,1.49,24.86,2.17,5.37,6.76,6.03,3.39,0.19,121.70, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,417.59,, Saint Lucia,22.61,144.20,0.00,0.00,0.00,0.25,167.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.16,0.11,11.25,0.00,0.00,24.66,8.73,2.37,12.42,0.44,29.32,120.45, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,287.50
Saint Vincent and the Grenadines,18.99,67.75,0.00,0.00,0.00,0.06,86.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.62,1.46,56.19,0.38,2.89,45.26,4.21,8.67,11.49,11.69,6.57,0.23,216.66, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,303.47,, Saint Vincent and the Grenadines,11.92,76.03,0.00,0.00,0.00,0.13,88.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.82,0.02,2.10,0.00,0.00,4.60,1.63,0.44,2.32,0.08,5.48,22.49, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,110.58
Samoa,0.00,356.79,0.00,0.00,0.00,0.23,357.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,357.02,, Samoa,18.85,120.24,0.00,0.00,0.00,0.21,139.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.27,0.00,0.00,0.56,0.20,0.06,0.29,0.01,0.67,2.80, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,  0.13 ,  0.07 ,0.20,142.30
San Marino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, San Marino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,0.00
Sao Tome and Principe,45.49,529.70,0.00,0.00,0.00,0.39,575.58,0.00,0.00,0.00,0.00,585.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,585.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,585.84,4.51,0.04,1.84,0.00,2.03,1.91,0.27,0.05,2.81,0.87,0.00,0.00,14.31,  20.70 , ,  19.15 ,  4.53 , ,  1.97 , ,  5.92 ,  39.85 ,  4.53 ,  7.89 ,  52.27 ,  5.69 ,  5.69 ,,  -   ,  -   ,"1,819.53",, Sao Tome and Principe,86.86,554.05,0.00,0.00,0.00,0.96,641.87,0.00,0.00,0.00,0.00,0.00,99.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.49,0.60,0.00,0.22,0.00,0.00,0.46,0.17,0.05,0.24,0.01,0.56,2.32,  19.48 , ,  18.14 ,  4.02 , ,  2.07 , ,  5.62 ,37.62,4.02,7.69,49.33,  19.88 ,19.88,,0.00,,  2.78 ,2.78,815.67
Saudi Arabia,619.11,"39,352.62",0.00,0.00,0.00,26.01,"39,997.74",0.00,87.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.13,111.09,0.00,0.00,0.00,0.00,0.00,0.00,111.09,198.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"40,283.09",, Saudi Arabia,"2,605.98","16,622.24",113.59,18.17,218.88,12.57,"19,591.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,"19,658.40"
Senegal,"10,485.86","149,626.38",3.09,0.48,7.95,62.22,"160,185.97","28,473.17",0.00,0.00,0.00,"23,567.81",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"52,040.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"52,040.98",352.38,52.57,117.83,0.00,181.99,111.94,0.00,40.13,192.21,0.00,0.00,0.00,"1,049.05", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  1,901.38 ","  1,901.38 ",,  -   ,  -   ,"267,218.36",, Senegal,"30,715.38","195,918.04",0.00,0.00,0.00,0.00,"226,633.42","21,161.10",0.00,0.00,0.00,0.00,"21,394.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,555.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,555.90","2,452.08",144.93,"1,014.79",4.12,21.09,"1,649.46",567.06,265.57,"1,076.33",31.33,"1,899.79","9,126.56", , , , , , , , ,0.00,0.00,0.00,0.00,"  2,775.04 ","2,775.04",,0.00,,  25.96 ,25.96,"281,116.89"
Serbia,"4,291.82","2,187.40",1.49,0.23,1.93,0.45,"6,483.32",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.85,0.07,17.26,0.00,18.78,17.76,2.54,0.28,26.34,8.27,0.00,0.00,133.15, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"6,616.47",, Serbia,513.92,"3,278.05",4.29,1.88,15.13,0.76,"3,814.03",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"3,814.03"
Seychelles,4.49,109.94,0.00,0.00,0.00,0.08,114.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.11,0.05,4.16,0.00,4.56,4.22,0.59,0.09,6.38,1.92,0.00,0.00,32.08,  0.78 ,  0.82 , ,  1.25 ,  1.02 ,  1.09 ,  2.23 , ,  1.60 ,  2.26 ,  3.31 ,  7.18 ,,  -   ,,,  -   ,153.76,, Seychelles,5.51,35.12,0.00,0.00,0.00,0.06,40.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.48,0.03,3.16,0.00,0.00,6.56,2.39,0.71,3.47,0.13,7.93,32.86,  0.68 , ,  0.64 ,  1.57 , ,  1.87 , ,  5.09 ,1.32,1.57,6.96,9.85,  -   ,0.00,0.00,0.00,,,0.00,83.40
Sierra Leone,"7,620.11","104,358.89",0.00,0.00,0.00,74.86,"112,053.86","530,299.58",0.00,0.00,0.00,"388,098.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"918,398.56",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"918,398.56","1,633.05",28.40,659.59,0.00,744.41,675.94,88.88,29.61,"1,012.05",289.53,0.00,0.00,"5,161.47","  2,352.18 ", ,"  1,737.33 ","  1,529.90 ", ,  24.07 , ,  113.83 ,"  4,089.50 ","  1,529.90 ",  137.90 ,"  5,757.31 ",  43.89 ,  43.89 ,,  -   ,  -   ,"1,959,813.65",, Sierra Leone,"8,554.90","54,567.41",0.00,0.00,0.00,0.00,"63,122.30","77,319.02",0.00,0.00,0.00,0.00,"77,319.02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"154,638.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"154,638.04",230.22,7.36,90.64,0.20,1.01,166.01,59.07,22.46,97.67,3.33,196.56,874.52, , , , , , , , ,0.00,0.00,0.00,0.00,  63.30 ,63.30,,0.00,,  21.92 ,21.92,"218,720.09"
Singapore,111.40,"3,863.20",0.34,0.05,0.45,0.13,"3,975.59",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.40,0.62,3.13,0.00,4.09,3.08,0.25,0.50,4.97,0.81,0.00,0.00,25.85, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"4,001.43",, Singapore,164.68,"1,050.38",1.02,0.51,4.23,0.21,"1,221.02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,0.01,0.83,0.00,0.00,1.72,0.63,0.19,0.91,0.04,2.08,8.64, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,229.66"
Sint Maarten (Dutch part),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Sint Maarten (Dutch part),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Slovakia,3.92,"2,624.13",0.20,0.03,0.56,0.27,"2,629.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.11,0.00,2.97,0.00,3.21,2.87,0.39,0.04,4.59,1.31,0.00,0.00,22.50, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,651.62",, Slovakia,110.01,701.73,10.45,2.93,23.13,1.31,849.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,849.57
Slovenia,4.35,857.01,0.00,0.00,0.00,0.56,861.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.04,0.00,0.06,0.03,0.00,0.01,0.06,0.00,0.00,0.00,0.34, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,862.25,, Slovenia,40.13,255.95,0.00,0.00,0.00,0.44,296.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,296.52
Solomon Islands,0.00,"7,282.96",0.00,0.00,0.00,4.70,"7,287.66",663.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,663.22,0.00,0.00,0.00,0.00,459.53,0.00,0.00,459.53,"1,122.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,  0.31 ,  0.33 , ,  32.86 ,  18.88 ,  1.90 ,  2.28 , ,  0.64 ,  51.74 ,  4.18 ,  56.56 ,,  -   ,,,  -   ,"9,130.18",, Solomon Islands,245.26,"1,564.42",3.94,0.05,0.43,1.65,"1,815.76",187.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.20,0.00,0.00,0.00,0.00,193.78,0.00,193.78,380.98,13.46,0.05,5.01,0.00,0.00,10.41,3.79,1.13,5.50,0.21,12.57,52.14,  0.03 , ,  0.03 ,  4.62 , ,  0.33 , ,  0.62 ,0.05,4.62,0.95,5.62,,0.00,0.00,0.00,,,0.00,"2,254.50"
Somalia,"17,629.37","292,890.98",0.00,0.00,0.00,91.30,"310,611.65",0.00,"77,710.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"77,710.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"77,710.13",369.25,1.46,151.18,0.00,165.37,159.31,22.99,3.18,229.55,74.25,0.00,0.00,"1,176.53", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  2,411.01 ","  2,411.01 ",,,  -   ,"469,619.44",, Somalia,"40,190.41","256,354.45",0.00,0.00,0.00,0.00,"296,544.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"32,354.67",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"32,354.67",0.00,0.00,0.00,0.00,"1,664.03",0.00,"1,664.03","34,018.70",245.76,18.58,104.79,0.54,2.77,157.38,53.62,29.34,110.02,3.12,179.51,905.41, , , , , , , , ,0.00,0.00,0.00,0.00,"  3,707.89 ","3,707.89",0.00,0.00,,,0.00,"335,176.86"
South Africa,"383,849.96","386,295.48",860.05,133.15,"1,821.32",628.02,"773,587.98","1,616.16",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,292.34","1,463.63","4,372.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,372.12","47,720.86",408.76,"19,579.51",0.00,"21,636.35","19,687.82","2,665.48",548.73,"30,088.32","8,761.73",0.00,0.00,"151,097.56",  191.75 , ,  181.37 ,"  1,105.08 ", ,  701.41 , ,"  1,161.30 ",  373.12 ,"  1,105.08 ","  1,862.71 ","  3,340.90 ",  852.10 ,  852.10 ,,,  -   ,"937,622.79",, South Africa,"132,210.46","843,304.25","7,456.36",443.46,"3,880.36",422.36,"987,717.26",904.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,794.36,807.52,"2,506.53",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,506.53","30,935.22","3,314.40","14,444.81",94.26,485.39,"17,476.86","5,577.15","3,925.12","14,886.25",305.56,"18,926.67","110,371.69",  304.35 ,  326.29 , ,"  1,475.19 ","  1,181.01 ",  968.43 ,"  1,283.20 ", ,630.64,"2,656.20","2,251.63","5,538.47",,0.00,,0.00,,,0.00,"1,106,133.95"
